"airline","Luftlinie","airline distance"
"privacy_l6","Erhebung von Zugriffsdaten und Logfiles: Ich selbst (bzw. mein Webhostinganbieter) erhebe Daten zu jedem Zugriff auf den Server (sogenannte Serverlogfiles). Zu den Serverlogfiles können die Adresse und Name der abgerufenen Webseiten und Dateien, Datum und Uhrzeit des Abrufs, übertragene Datenmengen, Meldung über erfolgreichen Abruf, Browsertyp nebst Version, das Betriebssystem des Nutzers, Referrer URL (die zuvor besuchte Seite) und im Regelfall IP-Adressen und der anfragende Provider gehören. Die Serverlogfiles können zum einen zu Zwecken der Sicherheit eingesetzt werden, z.B., um eine Überlastung der Server zu vermeiden (insbesondere im Fall von missbräuchlichen Angriffen, sogenannten DDoS-Attacken) und zum anderen, um die Auslastung der Server und ihre Stabilität sicherzustellen; ","Collection of access data and logfiles: Me or the hosting provider read the data of logfiles. That can be addresses and name of accessed websites, time stamp and date of visit, information about data and size of data requested from the server, success messages, browser including version number, the operating system of the visitor, referrer URL (websites visited before) and usually the IP address and the related provider. The server logfiles can be used for security purposes like prevention of server attacks (especially DDOS attacks) and maintaining the stability of the server."
"privacy_l7","Löschung von Daten: Logfile-Informationen werden für die Dauer von maximal 30 Tagen gespeichert und danach gelöscht oder anonymisiert. Daten, deren weitere Aufbewahrung zu Beweiszwecken erforderlich ist, sind bis zur endgültigen Klärung des jeweiligen Vorfalls von der Löschung ausgenommen.","Deleting data: Information of logfiles are usually saved for 30 days and then deleted or anonymised. Data that require further saving for the purpose of proof of an incident are temporarily excluded by that rule."
"privacy_l8","Hostingplattform für E-Commerce / Websites; Dienstanbieter: 1&1 IONOS SE, Elgendorfer Str. 57, 56410 Montabaur, Deutschland; Website:","Hosting platform for e-commerce / Websites; Service provider: 1&1 IONOS SE, Elgendorfer Str. 57, 56410 Montabaur, Germany; Website:"
"privacy_l9","Auftragsverarbeitungsvertrag:","Service contract:"
"privacy_overview","Übersicht der Verarbeitungen","Introduction to use of data"
"privacy_p1","Diese Seite verarbeitet keine personenbezogenen Daten, sofern keine Email an die im Impressum angegebene Email-Adresse versendet wird. Es werden auch keine Daten an externe Services gesendet. Jedoch werden Daten vom Hosting-Anbieter IONOS verarbeitet (siehe nachfolgende Informationen).","Unless no email is sent to the email address mentioned on the legal notice page, no user data is taken by this site. Also, no data is sent to external services. But data is used by the hosting provider IONOS (see following information for further details)."
"privacy_p2","Um das Onlineangebot sicher und effizient bereitstellen zu können, nehme ich die Leistungen von dem Webhosting-Anbieter IONOS in Anspruch, von deren Servern (bzw. von ihnen verwalteten Servern) das Onlineangebot abgerufen werden kann. Zu diesen Zwecken kann ich Infrastruktur- und Plattformdienstleistungen, Rechenkapazität, Speicherplatz und Datenbankdienste sowie Sicherheitsleistungen und technische Wartungsleistungen in Anspruch nehmen.

Zu den im Rahmen der Bereitstellung des Hostingangebotes verarbeiteten Daten können alle die Nutzer meines Onlineangebotes betreffenden Angaben gehören, die im Rahmen der Nutzung und der Kommunikation anfallen. Hierzu gehören regelmäßig die IP-Adresse, die notwendig ist, um die Inhalte von Onlineangeboten an Browser ausliefern zu können, und alle innerhalb meines Onlineangebotes oder von Webseiten getätigten Eingaben.","In order to provide this online service in an efficient and secure way, I use the services of the webhosting provider IONOS. This website is hosted on their servers. This way, I can use their webspace, plattform services, data bases and security services.
For their service, they use the data of website visitors like IP addresses, in order to deliver the site content to the visitor and all user input on the site."
"privacy_p3","Weitere Hinweise zu Verarbeitungsprozessen, Verfahren und Diensten:","Additional information about processes and services:"
"privacy_webhosting","Bereitstellung des Onlineangebotes und Webhosting","Information about the hosting company"
"release","Stand","Release"
"responsible","Verantwortliche Person","Responsible"
"search","Suchen","Search"
"sights","Ausflugsziele","sights"
"siteowner","Seitenbetreiberin","site owner"
"start","Start","Start"
"startdest","Startpunkt","Start destination"
"station","Bahnstation","train stop"
"stations","Bahnstationen","train stops"
"to","nach","to"
"totaldistance","Gesamtlänge","Total distance"
"tourroute","Streckenverlauf","tour route"
"traveltime","Fahrtzeit","travel time"
"upto","Bis zu","Up to"
"veloroutes","Radfernwege","cycling routes"
"via","Über","Via"
"direct_trains_only","Nur Direktverbindungen","direct connections only"
